"key","base","target","review_status","reviewer_notes"
"profileLabel","Profile","Profil","",""
"logoutLabel","Logout","Log Keluar","",""
"settingsLabel","Settings","Tetapan","",""
"messagesLabel","Messages","Mesej","",""
"alertsLabel","Alerts","Amaran","",""
"noMessagesLabel","No messages","Tiada mesej","",""
"noAlertsLabel","No alerts","Tiada amaran","",""
"languageLabel","Language","Bahasa","",""
"englishLanguageLabel","English","English (US)","",""
"tamilLanguageLabel","Tamil","Tamil","",""
"organizationScopeLabel","Organization Scope","Skop Organisasi","",""
"organizationLabel","Organization","Organisasi","",""
"addressLabel","Address","Alamat","",""
"cancelLabel","Cancel","Batal","",""
"yesLabel","Yes","Ya","",""
"noLabel","No","Tidak","",""
"notesLabel","Notes","Nota","",""
"recordsLabel","Records","Rekod","",""
"actionsLabel","Actions","Actions","",""
"activeLicensesLabel","Active Licenses","Active Licenses","",""
"activeLicensesSummaryLabel","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","",""
"accountLifecycleStatusLabel","Account lifecycle status","Account lifecycle status","",""
"dashboardLabel","Dashboard","Dashboard","",""
"homeLabel","Home","Home","",""
"allOrganizationsLabel","All Organizations","All Organizations","",""
"allUsersLabel","All Users","All Users","",""
"applicationAdminLabel","Application Admin","Application Admin","",""
"awaitingSelectionLabel","Awaiting selection","Awaiting selection","",""
"closestExpiryLabel","Closest expiry","Closest expiry","",""
"commandNotesLabel","Command Notes","Command Notes","",""
"commandNotesSubtitleLabel","What this dashboard is telling you right now","What this dashboard is telling you right now","",""
"downloadSelectedLabel","Download Selected","Download Selected","",""
"downloadZipLabel","Download ZIP","Download ZIP","",""
"earliestExpiryLabel","Earliest Expiry","Earliest Expiry","",""
"errorMonitorLabel","Error Monitor","Error Monitor","",""
"expiringIn30DaysLabel","Expiring in 30 Days","Expiring in 30 Days","",""
"expiringIn30DaysSummaryLabel","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","",""
"expiringSoonLabel","Expiring Soon","Expiring Soon","",""
"expiredLicensesLabel","Expired Licenses","Expired Licenses","",""
"expiredLicensesSummaryLabel","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","",""
"exportPdfLabel","Export PDF","Export PDF","",""
"exposureSummaryLabel","Exposure Summary","Exposure Summary","",""
"exposureSummarySubtitleLabel","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","",""
"fetchUsersLabel","Fetch Users","Ambil Pengguna","",""
"filesLabel","files","files","",""
"healthLabel","Health","Health","",""
"healthyLabel","Healthy","Healthy","",""
"imageLabel","Image","Image","",""
"inlinePreviewLabel","Inline Preview","Inline Preview","",""
"licenseCommandCenterLabel","License Command Center","License Command Center","",""
"licenseHealthScoreLabel","License Health Score","License Health Score","",""
"licenseHealthScoreSummaryLabel","Share of visible licenses that are currently active","Share of visible licenses that are currently active","",""
"licensePriorityNoteLabel","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","",""
"licensedOrganizationsLabel","Licensed Organizations","Licensed Organizations","",""
"licensedUsersLabel","Licensed Users","Licensed Users","",""
"linesLabel","lines","lines","",""
"liveAccountSplitLabel","Live account split","Live account split","",""
"liveLabel","Live","Live","",""
"livePreviewLabel","Live Preview","Live Preview","",""
"livePreviewSummaryLabel","Immediate view of the selected log file with download and full-view actions kept close.","Immediate view of the selected log file with download and full-view actions kept close.","",""
"logExplorerLabel","Log Explorer","Log Explorer","",""
"logExplorerSummaryLabel","Folders and .log files under the server log directory.","Folders and .log files under the server log directory.","",""
"logFileDialogLabel","Log File","Log File","",""
"logFilesLabel","Log Files","Log Files","",""
"logLocationLabel","Log Location","Log Location","",""
"mostExposedOrganizationLabel","Most Exposed Organization","Most Exposed Organization","",""
"mostExposedOrganizationStatLabel","Most exposed organization","Most exposed organization","",""
"newUserLabel","New User","New User","",""
"neverLoggedInLabel","Never Logged In","Never Logged In","",""
"noFileSelectedLabel","No file selected","No file selected","",""
"notifyLabel","Notify","Notify","",""
"openFullViewerLabel","Open Full Viewer","Open Full Viewer","",""
"protectedUserAccountsLabel","Protected user accounts","Protected user accounts","",""
"recordsLoadedLabel","Records Loaded","Records Loaded","",""
"refreshExplorerLabel","Refresh Explorer","Refresh Explorer","",""
"remarksLabel","Remarks","Remarks","",""
"renewalPressureBoardLabel","Renewal Pressure Board","Renewal Pressure Board","",""
"renewalPressureBoardSummaryLabel","Organizations sorted by expiry risk and user exposure","Organizations sorted by expiry risk and user exposure","",""
"searchLabel","Search","Cari","",""
"searchUsersLabel","Search Users","Search Users","",""
"selectedFileLabel","Selected File","Selected File","",""
"selectedSizeLabel","Selected Size","Selected Size","",""
"selectLogFilePreviewLabel","Select a log file from the explorer to preview its contents here.","Select a log file from the explorer to preview its contents here.","",""
"serverAndDbLabel","Server and DB","Pelayan dan Pangkalan Data","",""
"serverLogActionsSummaryLabel","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","Refresh the explorer, open the current file in a dialog, or download what you are investigating.","",""
"serverLogCommandDeckLabel","Server Log Command Deck","Server Log Command Deck","",""
"serverLogCommandDeckSummaryLabel","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","Inspect runtime logs, open the selected file instantly, and download the current artifact without leaving the page. Built for fast triage when production or UAT starts misbehaving.","",""
"serverLogsLabel","Server Logs","Log Pelayan","",""
"statusComparisonLabel","Status Comparison","Status Comparison","",""
"statusComparisonSummaryLabel","Compare user lifecycle states side by side for faster admin review.","Compare user lifecycle states side by side for faster admin review.","",""
"statusLabel","Status","Status","",""
"statusShareLabel","Status Share","Status Share","",""
"statusShareSummaryLabel","Understand how the user population is distributed across active, inactive, and never-used accounts.","Understand how the user population is distributed across active, inactive, and never-used accounts.","",""
"totalVisibleRecordsLabel","Total visible records","Total visible records","",""
"unknownLabel","Unknown","Unknown","",""
"unlicensedOrganizationsLabel","Unlicensed Organizations","Unlicensed Organizations","",""
"unlicensedOrganizationsSummaryLabel","Accessible organizations without a registered license record.","Accessible organizations without a registered license record.","",""
"userAdministrationActionsSummaryLabel","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","Create, fetch, export, and maintain user accounts from the same existing action flow, with page-level organization and user scope controls.","",""
"userAdministrationCommandCenterLabel","User Administration Command Center","User Administration Command Center","",""
"userAdministrationLabel","User Administration","Pentadbiran Pengguna","",""
"userAdministrationSummaryLabel","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","Manage user accounts, login status, access footprint, and profile readiness from a sharper operational workspace. The underlying add, edit, delete, upload, and crop flows remain unchanged.","",""
"userLabel","User","User","",""
"userManagementLabel","User Management","Pengurusan Pengguna","",""
"userScopeLabel","User Scope","User Scope","",""
"userStatusComparisonChartLabel","User Status Comparison","User Status Comparison","",""
"userStatusShareChartLabel","User Status Share","User Status Share","",""
"usersGridLabel","Users Grid","Users Grid","",""
"usersGridSummaryLabel","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","Search, inspect avatars, review status, and open the existing edit/delete flows from the main grid.","",""
"usersLabel","Users","Users","",""
"windowLabel","Window","Window","",""
"expiryLabel","Expiry","Expiry","",""
"activeUsersLabel","Active Users","Active Users","",""
"activityControlsLabel","Activity Controls","Activity Controls","",""
"activityControlsSummaryLabel","Refresh the live dataset and export the audit grid in report-friendly formats.","Refresh the live dataset and export the audit grid in report-friendly formats.","",""
"activityDistributionLabel","Activity Distribution","Activity Distribution","",""
"activityDistributionSummaryLabel","A quick visual split of the main activity types in the current audit set.","A quick visual split of the main activity types in the current audit set.","",""
"activityLabel","Activity","Activity","",""
"activityMixLabel","Activity Mix","Activity Mix","",""
"activityTimelineLabel","Activity Timeline","Activity Timeline","",""
"activityTimelineSummaryLabel","Track how audit volume changes across the recorded date and time sequence.","Track how audit volume changes across the recorded date and time sequence.","",""
"addLabel","Add","Tambah","",""
"auditGridLabel","Audit Grid","Audit Grid","",""
"auditGridSummaryLabel","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","",""
"branchRequiredLabel","Branch*","Branch*","",""
"browserMixLabel","Browser Mix","Browser Mix","",""
"browserTypeDistributionLabel","Browser Type Distribution","Browser Type Distribution","",""
"browserTypeDistributionSummaryLabel","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","",""
"changeEventsLabel","Change Events","Change Events","",""
"changeEventsSummaryLabel","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","",""
"changeOperationsLabel","Change Operations","Change Operations","",""
"changeOperationsSummaryLabel","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","",""
"cityRequiredLabel","City*","City*","",""
"countryRequiredLabel","Country*","Country*","",""
"createdAtLabel","Created At","Dicipta pada","",""
"currentAuditMixLabel","Current audit mix","Current audit mix","",""
"currentSavedProfilePictureLabel","Current saved profile picture for this user account.","Current saved profile picture for this user account.","",""
"dateTimeBasedEventFlowLabel","Date/time based event flow","Date/time based event flow","",""
"deleteLabel","Delete","Padam","",""
"emailAddressLabel","Email address","Email address","",""
"environmentLabel","Environment","Environment","",""
"environmentSourceProfileLabel","Environment source profile","Environment source profile","",""
"eventsLabel","events","events","",""
"exportToExcelLabel","Export to Excel","Eksport ke Excel","",""
"exportToPdfLabel","Export to PDF","Eksport ke PDF","",""
"lastLogoutLabel","Last Logout","Last Logout","",""
"lastPasswordChangeLabel","Last Password Change","Last Password Change","",""
"lastRecordedLabel","Last Recorded","Last Recorded","",""
"lastSeenLabel","Last Seen","Last Seen","",""
"lastSuccessfulLoginLabel","Last Successful Login","Last Successful Login","",""
"loginEventsLabel","Login Events","Login Events","",""
"loginEventsSummaryLabel","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","",""
"loginLabel","Login","Masuk","",""
"logoutEventsLabel","Logout Events","Logout Events","",""
