"key","base","target","review_status","reviewer_notes"
"profileLabel","Profile","个人资料","",""
"logoutLabel","Logout","退出登录","",""
"settingsLabel","Settings","设置","",""
"messagesLabel","Messages","消息","",""
"alertsLabel","Alerts","提醒","",""
"noMessagesLabel","No messages","没有消息","",""
"noAlertsLabel","No alerts","没有提醒","",""
"languageLabel","Language","语言","",""
"englishLanguageLabel","English","英语 (US)","",""
"tamilLanguageLabel","Tamil","泰米尔语","",""
"organizationScopeLabel","Organization Scope","机构范围","",""
"organizationLabel","Organization","机构","",""
"addressLabel","Address","地址","",""
"cancelLabel","Cancel","取消","",""
"yesLabel","Yes","是","",""
"noLabel","No","否","",""
"notesLabel","Notes","备注","",""
"recordsLabel","Records","记录","",""
"actionsLabel","Actions","Actions","",""
"activeLicensesLabel","Active Licenses","Active Licenses","",""
"activeLicensesSummaryLabel","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","",""
"accountLifecycleStatusLabel","Account lifecycle status","Account lifecycle status","",""
"dashboardLabel","Dashboard","Dashboard","",""
"homeLabel","Home","Home","",""
"allOrganizationsLabel","All Organizations","All Organizations","",""
"allUsersLabel","All Users","All Users","",""
"applicationAdminLabel","Application Admin","Application Admin","",""
"awaitingSelectionLabel","Awaiting selection","Awaiting selection","",""
"closestExpiryLabel","Closest expiry","Closest expiry","",""
"commandNotesLabel","Command Notes","Command Notes","",""
"commandNotesSubtitleLabel","What this dashboard is telling you right now","What this dashboard is telling you right now","",""
"downloadSelectedLabel","Download Selected","Download Selected","",""
"downloadZipLabel","Download ZIP","Download ZIP","",""
"earliestExpiryLabel","Earliest Expiry","Earliest Expiry","",""
"errorMonitorLabel","Error Monitor","Error Monitor","",""
"expiringIn30DaysLabel","Expiring in 30 Days","Expiring in 30 Days","",""
"expiringIn30DaysSummaryLabel","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","",""
"expiringSoonLabel","Expiring Soon","Expiring Soon","",""
"expiredLicensesLabel","Expired Licenses","Expired Licenses","",""
"expiredLicensesSummaryLabel","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","",""
"exportPdfLabel","Export PDF","Export PDF","",""
"exposureSummaryLabel","Exposure Summary","Exposure Summary","",""
"exposureSummarySubtitleLabel","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","",""
