"key","base","target","review_status","reviewer_notes"
"profileLabel","Profile","प्रोफाइल","",""
"logoutLabel","Logout","लॉगआउट","",""
"settingsLabel","Settings","सेटिंग्ज","",""
"messagesLabel","Messages","संदेश","",""
"alertsLabel","Alerts","इशारे","",""
"noMessagesLabel","No messages","कोणतेही संदेश नाहीत","",""
"noAlertsLabel","No alerts","कोणतेही इशारे नाहीत","",""
"languageLabel","Language","भाषा","",""
"englishLanguageLabel","English","इंग्रजी (US)","",""
"tamilLanguageLabel","Tamil","तमिळ","",""
"organizationScopeLabel","Organization Scope","संस्था व्याप्ती","",""
"organizationLabel","Organization","संस्था","",""
"addressLabel","Address","पत्ता","",""
"cancelLabel","Cancel","रद्द करा","",""
"yesLabel","Yes","होय","",""
"noLabel","No","नाही","",""
"notesLabel","Notes","टिप्पण्या","",""
"recordsLabel","Records","नोंदी","",""
"actionsLabel","Actions","Actions","",""
"activeLicensesLabel","Active Licenses","Active Licenses","",""
"activeLicensesSummaryLabel","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","",""
"accountLifecycleStatusLabel","Account lifecycle status","Account lifecycle status","",""
"dashboardLabel","Dashboard","Dashboard","",""
"homeLabel","Home","Home","",""
"allOrganizationsLabel","All Organizations","All Organizations","",""
"allUsersLabel","All Users","All Users","",""
"applicationAdminLabel","Application Admin","Application Admin","",""
"awaitingSelectionLabel","Awaiting selection","Awaiting selection","",""
"closestExpiryLabel","Closest expiry","Closest expiry","",""
"commandNotesLabel","Command Notes","Command Notes","",""
"commandNotesSubtitleLabel","What this dashboard is telling you right now","What this dashboard is telling you right now","",""
"downloadSelectedLabel","Download Selected","Download Selected","",""
"downloadZipLabel","Download ZIP","Download ZIP","",""
"earliestExpiryLabel","Earliest Expiry","Earliest Expiry","",""
"errorMonitorLabel","Error Monitor","Error Monitor","",""
"expiringIn30DaysLabel","Expiring in 30 Days","Expiring in 30 Days","",""
"expiringIn30DaysSummaryLabel","Renewal attention required before these organizations lose access.","Renewal attention required before these organizations lose access.","",""
"expiringSoonLabel","Expiring Soon","Expiring Soon","",""
"expiredLicensesLabel","Expired Licenses","Expired Licenses","",""
"expiredLicensesSummaryLabel","Organizations already outside their valid operating license window.","Organizations already outside their valid operating license window.","",""
"exportPdfLabel","Export PDF","Export PDF","",""
"exposureSummaryLabel","Exposure Summary","Exposure Summary","",""
"exposureSummarySubtitleLabel","Key checkpoints for renewal planning and access continuity","Key checkpoints for renewal planning and access continuity","",""
"fetchUsersLabel","Fetch Users","Fetch Users","",""
"filesLabel","files","files","",""
"healthLabel","Health","Health","",""
"healthyLabel","Healthy","Healthy","",""
"imageLabel","Image","Image","",""
"inlinePreviewLabel","Inline Preview","Inline Preview","",""
"licenseCommandCenterLabel","License Command Center","License Command Center","",""
"licenseHealthScoreLabel","License Health Score","License Health Score","",""
"licenseHealthScoreSummaryLabel","Share of visible licenses that are currently active","Share of visible licenses that are currently active","",""
"licensePriorityNoteLabel","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","Keep licenses healthy for organizations with the highest user counts first. That lowers operational risk fastest.","",""
"licensedOrganizationsLabel","Licensed Organizations","Licensed Organizations","",""
"licensedUsersLabel","Licensed Users","Licensed Users","",""
"linesLabel","lines","lines","",""
"liveAccountSplitLabel","Live account split","Live account split","",""
"liveLabel","Live","Live","",""
"livePreviewLabel","Live Preview","Live Preview","",""
"livePreviewSummaryLabel","Immediate view of the selected log file with download and full-view actions kept close.","Immediate view of the selected log file with download and full-view actions kept close.","",""
"logExplorerLabel","Log Explorer","Log Explorer","",""
"logExplorerSummaryLabel","Folders and .log files under the server log directory.","Folders and .log files under the server log directory.","",""
"logFileDialogLabel","Log File","Log File","",""
"logFilesLabel","Log Files","Log Files","",""
"logLocationLabel","Log Location","Log Location","",""
"mostExposedOrganizationLabel","Most Exposed Organization","Most Exposed Organization","",""
"mostExposedOrganizationStatLabel","Most exposed organization","Most exposed organization","",""
"newUserLabel","New User","New User","",""
"neverLoggedInLabel","Never Logged In","Never Logged In","",""
"noFileSelectedLabel","No file selected","No file selected","",""
"notifyLabel","Notify","Notify","",""
"openFullViewerLabel","Open Full Viewer","Open Full Viewer","",""
"protectedUserAccountsLabel","Protected user accounts","Protected user accounts","",""
"recordsLoadedLabel","Records Loaded","Records Loaded","",""
"refreshExplorerLabel","Refresh Explorer","Refresh Explorer","",""
"remarksLabel","Remarks","Remarks","",""
