"key","base","as","bn","de","es","fr","gu","hi","id","it","ja","kn","ko","ml","mr","ms","nl","or","pa","pl","pt","ru","si","ta","te","th","tr","uk","ur","vi","zh"
"profileLabel","Profile","প্ৰফাইল","প্রোফাইল","Profil","Perfil","Profil","પ્રોફાઇલ","प्रोफ़ाइल","Profil","Profilo","プロフィール","ಪ್ರೊಫೈಲ್","프로필","പ്രൊഫൈൽ","प्रोफाइल","Profil","Profiel","ପ୍ରୋଫାଇଲ୍","ਪ੍ਰੋਫਾਈਲ","Profil","Perfil","Профиль","පැතිකඩ","சுயவிவரம்","ప్రొఫైల్","โปรไฟล์","Profil","Профіль","پروفائل","Hồ sơ","个人资料"
"logoutLabel","Logout","লগআউট","লগআউট","Abmelden","Cerrar sesión","Déconnexion","લૉગઆઉટ","लॉगआउट","Keluar","Disconnetti","ログアウト","ಲಾಗ್ ಔಟ್","로그아웃","ലോഗ്ഔട്ട്","लॉगआउट","Log Keluar","Afmelden","ଲଗଆଉଟ୍","ਲਾਗਆਉਟ","Wyloguj","Sair","Выход","පිටවීම","வெளியேறு","లాగౌట్","ออกจากระบบ","Çıkış Yap","Вийти","لاگ آؤٹ","Đăng xuất","退出登录"
"settingsLabel","Settings","ছেটিংছ","সেটিংস","Einstellungen","Configuración","Paramètres","સેટિંગ્સ","सेटिंग्स","Pengaturan","Impostazioni","設定","ಸೆಟ್ಟಿಂಗ್ಸ್","설정","സെറ്റിംഗുകൾ","सेटिंग्ज","Tetapan","Instellingen","ସେଟିଙ୍ଗ୍ସ","ਸੈਟਿੰਗਜ਼","Ustawienia","Configurações","Настройки","සැකසුම්","அமைப்புகள்","సెట్టింగ్స్","การตั้งค่า","Ayarlar","Налаштування","سیٹنگز","Cài đặt","设置"
"messagesLabel","Messages","বাৰ্তা","বার্তা","Nachrichten","Mensajes","Messages","સંદેશાઓ","संदेश","Pesan","Messaggi","メッセージ","ಸಂದೇಶಗಳು","메시지","സന്ദേശങ്ങൾ","संदेश","Mesej","Berichten","ସନ୍ଦେଶ","ਸੁਨੇਹੇ","Wiadomości","Mensagens","Сообщения","පණිවිඩ","செய்திகள்","సందేశాలు","ข้อความ","Mesajlar","Повідомлення","پیغامات","Tin nhắn","消息"
"alertsLabel","Alerts","সতৰ্কবাণী","সতর্কতা","Warnungen","Alertas","Alertes","ચેતવણીઓ","अलर्ट","Peringatan","Avvisi","アラート","ಎಚ್ಚರಿಕೆಗಳು","알림","അലർട്ടുകൾ","इशारे","Amaran","Meldingen","ସତର୍କତା","ਚੇਤਾਵਨੀਆਂ","Alerty","Alertas","Оповещения","අවවාද","எச்சரிக்கைகள்","అలర్ట్లు","การแจ้งเตือน","Uyarılar","Сповіщення","انتباہات","Cảnh báo","提醒"
"noMessagesLabel","No messages","কোনো বাৰ্তা নাই","কোনো বার্তা নেই","Keine Nachrichten","No hay mensajes","Aucun message","કોઈ સંદેશા નથી","कोई संदेश नहीं","Tidak ada pesan","Nessun messaggio","メッセージはありません","ಯಾವುದೇ ಸಂದೇಶಗಳಿಲ್ಲ","메시지가 없습니다","സന്ദേശങ്ങളൊന്നുമില്ല","कोणतेही संदेश नाहीत","Tiada mesej","Geen berichten","କୌଣସି ସନ୍ଦେଶ ନାହିଁ","ਕੋਈ ਸੁਨੇਹੇ ਨਹੀਂ","Brak wiadomości","Sem mensagens","Нет сообщений","පණිවිඩ නැත","செய்திகள் இல்லை","సందేశాలు లేవు","ไม่มีข้อความ","Mesaj yok","Немає повідомлень","کوئی پیغام نہیں","Không có tin nhắn","没有消息"
"noAlertsLabel","No alerts","কোনো সতৰ্কবাণী নাই","কোনো সতর্কতা নেই","Keine Warnungen","No hay alertas","Aucune alerte","કોઈ ચેતવણીઓ નથી","कोई अलर्ट नहीं","Tidak ada peringatan","Nessun avviso","アラートはありません","ಯಾವುದೇ ಎಚ್ಚರಿಕೆಗಳಿಲ್ಲ","알림이 없습니다","അലർട്ടുകളൊന്നുമില്ല","कोणतेही इशारे नाहीत","Tiada amaran","Geen meldingen","କୌଣସି ସତର୍କତା ନାହିଁ","ਕੋਈ ਚੇਤਾਵਨੀ ਨਹੀਂ","Brak alertów","Sem alertas","Нет оповещений","අවවාද නැත","எச்சரிக்கைகள் இல்லை","అలర్ట్లు లేవు","ไม่มีการแจ้งเตือน","Uyarı yok","Немає сповіщень","کوئی انتباہ نہیں","Không có cảnh báo","没有提醒"
"languageLabel","Language","ভাষা","ভাষা","Sprache","Idioma","Langue","ભાષા","भाषा","Bahasa","Lingua","言語","ಭಾಷೆ","언어","ഭാഷ","भाषा","Bahasa","Taal","ଭାଷା","ਭਾਸ਼ਾ","Język","Idioma","Язык","භාෂාව","மொழி","భాష","ภาษา","Dil","Мова","زبان","Ngôn ngữ","语言"
"englishLanguageLabel","English","ইংৰাজী (US)","ইংরেজি (US)","Englisch (US)","Inglés (US)","Anglais (US)","અંગ્રેજી (US)","अंग्रेज़ी","Inggris (US)","Inglese (US)","英語 (US)","ಇಂಗ್ಲಿಷ್ (US)","영어 (US)","ഇംഗ്ലീഷ്","इंग्रजी (US)","English (US)","Engels (US)","ଇଂରାଜୀ (US)","ਅੰਗਰੇਜ਼ੀ (US)","Angielski (US)","Inglês (US)","Английский (US)","ඉංග්‍රීසි (US)","English","ఇంగ్లీష్","อังกฤษ (US)","İngilizce (US)","Англійська (US)","انگریزی (US)","Tiếng Anh (US)","英语 (US)"
"tamilLanguageLabel","Tamil","তামিল","তামিল","Tamil","Tamil","Tamoul","તમિલ","तमिल","Tamil","Tamil","タミル語","ತಮಿಳು","타밀어","തമിഴ്","तमिळ","Tamil","Tamil","ତାମିଳ","ਤਮਿਲ","Tamilski","Tâmil","Тамильский","දෙමළ","தமிழ்","తమిళం","ทมิฬ","Tamilce","Тамільська","تمل","Tiếng Tamil","泰米尔语"
"organizationScopeLabel","Organization Scope","সংস্থাৰ পৰিসৰ","প্রতিষ্ঠান পরিসর","Organisationsbereich","Alcance de la organización","Périmètre de l'organisation","સંસ્થા વ્યાપ","संस्था दायरा","Cakupan organisasi","Ambito organizzazione","組織範囲","ಸಂಸ್ಥೆಯ ವ್ಯಾಪ್ತಿ","조직 범위","സ്ഥാപന പരിധി","संस्था व्याप्ती","Skop Organisasi","Organisatiebereik","ସଂସ୍ଥା ପରିସର","ਸੰਸਥਾ ਦਾਇਰਾ","Zakres organizacji","Escopo da organização","Область организации","ආයතන පරාසය","நிறுவன வரம்பு","సంస్థ పరిధి","ขอบเขตองค์กร","Organizasyon kapsamı","Обсяг організації","ادارے کا دائرہ","Phạm vi tổ chức","机构范围"
"organizationLabel","Organization","সংস্থা","প্রতিষ্ঠান","Organisation","Organización","Organisation","સંસ્થા","संस्था","Organisasi","Organizzazione","組織","ಸಂಸ್ಥೆ","조직","സ്ഥാപനം","संस्था","Organisasi","Organisatie","ସଂସ୍ଥା","ਸੰਸਥਾ","Organizacja","Organização","Организация","ආයතනය","நிறுவனம்","సంస్థ","องค์กร","Organizasyon","Організація","ادارہ","Tổ chức","机构"
"addressLabel","Address","ঠিকনা","ঠিকানা","Adresse","Dirección","Adresse","સરનામું","पता","Alamat","Indirizzo","住所","ವಿಳಾಸ","주소","വിലാസം","पत्ता","Alamat","Adres","ଠିକଣା","ਪਤਾ","Adres","Endereço","Адрес","ලිපිනය","முகவரி","చిరునామా","ที่อยู่","Adres","Адреса","پتہ","Địa chỉ","地址"
"cancelLabel","Cancel","বাতিল","বাতিল","Abbrechen","Cancelar","Annuler","રદ કરો","रद्द करें","Batal","Annulla","キャンセル","ರದ್ದುಮಾಡಿ","취소","റദ്ദാക്കുക","रद्द करा","Batal","Annuleren","ବାତିଲ୍","ਰੱਦ ਕਰੋ","Anuluj","Cancelar","Отмена","අවලංගු කරන්න","ரத்து செய்","రద్దు చేయండి","ยกเลิก","İptal","Скасувати","منسوخ کریں","Hủy","取消"
"yesLabel","Yes","হয়","হ্যাঁ","Ja","Sí","Oui","હા","हाँ","Ya","Sì","はい","ಹೌದು","예","അതെ","होय","Ya","Ja","ହଁ","ਹਾਂ","Tak","Sim","Да","ඔව්","ஆம்","అవును","ใช่","Evet","Так","ہاں","Có","是"
"noLabel","No","নহয়","না","Nein","No","Non","ના","नहीं","Tidak","No","いいえ","ಇಲ್ಲ","아니오","ഇല്ല","नाही","Tidak","Nee","ନା","ਨਹੀਂ","Nie","Não","Нет","නැහැ","இல்லை","కాదు","ไม่ใช่","Hayır","Ні","نہیں","Không","否"
