"key","base","target","review_status","reviewer_notes"
"profileLabel","Profile","சுயவிவரம்","",""
"logoutLabel","Logout","வெளியேறு","",""
"settingsLabel","Settings","அமைப்புகள்","",""
"messagesLabel","Messages","செய்திகள்","",""
"alertsLabel","Alerts","எச்சரிக்கைகள்","",""
"noMessagesLabel","No messages","செய்திகள் இல்லை","",""
"noAlertsLabel","No alerts","எச்சரிக்கைகள் இல்லை","",""
"languageLabel","Language","மொழி","",""
"englishLanguageLabel","English","English","",""
"tamilLanguageLabel","Tamil","தமிழ்","",""
"organizationScopeLabel","Organization Scope","நிறுவன வரம்பு","",""
"organizationLabel","Organization","நிறுவனம்","",""
"addressLabel","Address","முகவரி","",""
"cancelLabel","Cancel","ரத்து செய்","",""
"yesLabel","Yes","ஆம்","",""
"noLabel","No","இல்லை","",""
"notesLabel","Notes","குறிப்புகள்","",""
"recordsLabel","Records","பதிவுகள்","",""
"actionsLabel","Actions","Actions","",""
"activeLicensesLabel","Active Licenses","Active Licenses","",""
"activeLicensesSummaryLabel","Healthy license coverage currently available to accessible organizations.","Healthy license coverage currently available to accessible organizations.","",""
"accountLifecycleStatusLabel","Account lifecycle status","Account lifecycle status","",""
"dashboardLabel","Dashboard","Dashboard","",""
"homeLabel","Home","Home","",""
"allOrganizationsLabel","All Organizations","All Organizations","",""
"allUsersLabel","All Users","All Users","",""
"applicationAdminLabel","Application Admin","Application Admin","",""
"awaitingSelectionLabel","Awaiting selection","Awaiting selection","",""
"closestExpiryLabel","Closest expiry","Closest expiry","",""
"commandNotesLabel","Command Notes","Command Notes","",""
"commandNotesSubtitleLabel","What this dashboard is telling you right now","What this dashboard is telling you right now","",""
"downloadSelectedLabel","Download Selected","Download Selected","",""
"downloadZipLabel","Download ZIP","Download ZIP","",""
"earliestExpiryLabel","Earliest Expiry","Earliest Expiry","",""
"errorMonitorLabel","Error Monitor","Error Monitor","",""
"expiringIn30DaysLabel","Expiring in 30 Days","Expiring in 30 Days","",""
